nthread,nblock,time,cputime
1024,1472,4.003667,4.620000
512,2944,4.010207,4.011000
256,5887,4.025146,4.026000
128,11774,4.040858,4.042000
64,23548,4.042594,4.043000
32,47096,4.166554,4.168000
16,94191,8.299917,8.301000
8,188381,16.557674,16.559000
4,376761,33.030178,33.032000
2,753522,66.096764,66.099000
1,1507044,131.799561,131.803000
